Comment,Designator,Footprint,LCSC
47nF,"C11,C20",Capacitor_SMD:C_0805_2012Metric,C53134
100nF,"C2,C7,C9,C12,C14,C18,C21,C22,C24,C25,C26,C27,C34,C37,C38,C50,C64",Capacitor_SMD:C_0805_2012Metric,C28233
2.2nF,C15,Capacitor_SMD:C_0805_2012Metric,C28260
10uF/16V,"C16,C23",Capacitor_SMD:CP_Elec_4x5.4,C4747968
10uF,"C17,C53",Capacitor_SMD:C_0805_2012Metric,C15850
470nF,"C28,C29,C30,C31,C54",Capacitor_SMD:C_0805_2012Metric,C13967
1nF,"C32,C33",Capacitor_SMD:C_0805_2012Metric,C46653
1uF,"C35,C36",Capacitor_SMD:C_0805_2012Metric,C28323
100pF,C39,Capacitor_SMD:C_0805_2012Metric,C37456
10nF,"C3,C4,C10,C19",Capacitor_SMD:C_0805_2012Metric,C1710
12pF,C40,Capacitor_SMD:C_0805_2012Metric,C1792
180pF,C41,Capacitor_SMD:C_0805_2012Metric,C3846504
150pF,C43,Capacitor_SMD:C_0805_2012Metric,C107111
39pF,"C8,C44",Capacitor_SMD:C_0805_2012Metric,C107117
56pF,"C42,C45",Capacitor_SMD:C_0805_2012Metric,C1828
22uF,"C46,C47,C59,C60,C61,C62,C63",Capacitor_SMD:C_0805_2012Metric,C45783
100uF/16V,"C1,C5,C13,C48,C49",Capacitor_SMD:CP_Elec_6.3x7.7,C3339
1000uF/16V,C51,Capacitor_SMD:CP_Elec_10x10.5,C970714
270pF,C52,Capacitor_SMD:C_0805_2012Metric,C107106
82pF,C57,Capacitor_SMD:C_0805_2012Metric,C113833
120pF,"C55,C58",Capacitor_SMD:C_0805_2012Metric,C527208
220pF,"C6,C56",Capacitor_SMD:C_0805_2012Metric,C107112
BAS70-04,D1,BAS70-04:SOT23,C150242
100%,D10,Diode_SMD:D_0805_2012Metric_Castellated,C84256
1N4148,"D2,D3",Diode_SMD:D_SOD-123,C81598
1N5817,D4,Diode_SMD:D_SOD-123,C727113
25%,D6,Diode_SMD:D_0805_2012Metric_Castellated,C84256
SS34,"D5,D7",Diode_SMD:D_SMA,C8678
50%,D8,Diode_SMD:D_0805_2012Metric_Castellated,C84256
75%,D9,Diode_SMD:D_0805_2012Metric_Castellated,C84256
USB_PWR,J4,Connector_USB:USB_Mini-B_Lumberg_2486_01_Horizontal,C2681563
G6K-2F_DC5,K1,G6K_2F:G6K-2F_Cor,C47190
100uH,"L1,L3",Inductor_SMD:L_0805_2012Metric,C223180
1uH,L11,Inductor_SMD:L_Taiyo-Yuden_NR-50xx,C133189
560nH,L2,Inductor_SMD:L_1210_3225Metric,C89030
330nH,L4,Inductor_SMD:L_1210_3225Metric,C295307
270nH,"L5,L6",Inductor_SMD:L_1008_2520Metric,C295305
22uH,L7,SubW:SubW_PWR_INDUCTOR,C497873
100uH,L8,ADX_FOOTPRINT_LIBRARY:L_Bourns-SRN8040_8x8.15mm-MOD2,C408533
470nH,"L9,L10",Inductor_SMD:L_1210_3225Metric,C89029
BSS123,Q1,digikey-footprints:SOT-23-3,C513249
BFR93,Q2,Package_TO_SOT_SMD:SOT-323_SC-70,C151481
2N7002,Q3,digikey-footprints:SOT-23-3,C8545
1k,"R1,R10",Resistor_SMD:R_0805_2012Metric,C17513
10k,"R11,R12",Resistor_SMD:R_0805_2012Metric,C17414
2.7k,"R13,R14",Resistor_SMD:R_0805_2012Metric,C17530
3.9k,"R15,R18,R21",Resistor_SMD:R_0805_2012Metric,C17614
1.2k,R16,Resistor_SMD:R_0805_2012Metric,C17379
2 ohm,R17,Resistor_SMD:R_0805_2012Metric,C17606
12k,R19,Resistor_SMD:R_0805_2012Metric,C17444
100k,R2,Resistor_SMD:R_0805_2012Metric,C149504
0.5 ohm,R20,Resistor_SMD:R_0805_2012Metric,C158119
470,R3,Resistor_SMD:R_0805_2012Metric,C17710
100,R4,Resistor_SMD:R_0805_2012Metric,C17408
22,R5,Resistor_SMD:R_0805_2012Metric,C17561
680,R6,Resistor_SMD:R_0805_2012Metric,C17798
4.7k,"R7,R9",Resistor_SMD:R_0805_2012Metric,C17673
33,R8,Resistor_SMD:R_0805_2012Metric,C17634
74ACT244,U10,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,C6930
MT3608,U11,Package_TO_SOT_SMD:SOT-23-6,C84817
LM2576S-5,U12,Package_TO_SOT_SMD:TO-263-5_TabPin3,C347413
DS3231MZ,U2,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C107410
SN74ACT74DR,U3,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C6933
Si5351A,U4,Package_SO:MSOP-10_3x3mm_P0.5mm,C504891
AMS1117-3.3,U5,Package_TO_SOT_SMD:SOT-223-3_TabPin2,C6186
IP5306,U6,POCKET ATU V1:SO-8_3.9x4.9mm_P1.27mm,C181692
3253,U7,Package_SO:TSSOP-16_4.4x5mm_P0.65mm,C424399
LM4562,U8,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,C57367
26Mhz,Y1,Crystal:Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,C213404
