Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100uF/16V,CP_Elec_6.3x7.7,21.6,-109.4,180,top
C2,100nF,C_0805_2012Metric,23.5,-115.2,0,top
C3,10nF,C_0805_2012Metric,-9.2,-125,0,top
C4,10nF,C_0805_2012Metric,-17.9,-124.7,180,top
C5,100uF/16V,CP_Elec_6.3x7.7,17.4,-123.6,270,top
C6,220pF,C_0805_2012Metric,-11.9,-142.1,270,top
C7,100nF,C_0805_2012Metric,14.8,-112.85,90,top
C8,39pF,C_0805_2012Metric,-5.7,-142.6,90,top
C9,100nF,C_0805_2012Metric,46.5,-140.4,270,top
C10,10nF,C_0805_2012Metric,-11.65,-121.3,0,top
C11,47nF,C_0805_2012Metric,-19.8,-114.5,180,top
C12,100nF,C_0805_2012Metric,-34.55,-103,0,top
C13,100uF/16V,CP_Elec_6.3x7.7,2.5,-110.5,0,top
C14,100nF,C_0805_2012Metric,38.5,-127.1,0,top
C15,2.2nF,C_0805_2012Metric,-10.6,-118.3,90,top
C16,10uF/16V,CP_Elec_4x5.4,36.3,-122.6,0,top
C17,10uF,C_0805_2012Metric,67.5,-144.8,270,top
C18,100nF,C_0805_2012Metric,1.6,-116.6,270,top
C19,10nF,C_0805_2012Metric,-16,-110.7,180,top
C20,47nF,C_0805_2012Metric,-8.5,-110.4,270,top
C21,100nF,C_0805_2012Metric,4.3,-118.3,90,top
C22,100nF,C_0805_2012Metric,-30.7,-107.6,180,top
C23,10uF/16V,CP_Elec_4x5.4,-0.2,-121.8,0,top
C24,100nF,C_0805_2012Metric,-34.5,-107.6,0,top
C25,100nF,C_0805_2012Metric,-25.8,-107.4,0,top
C26,100nF,C_0805_2012Metric,-17.9,-105.6,0,top
C27,100nF,C_0805_2012Metric,-14.6,-95.7,0,top
C28,470nF,C_0805_2012Metric,-10.1,-102,180,top
C29,470nF,C_0805_2012Metric,-10.1,-104.7,0,top
C30,470nF,C_0805_2012Metric,-10.1,-99.3,180,top
C31,470nF,C_0805_2012Metric,-10.2,-96.2,0,top
C32,1nF,C_0805_2012Metric,-3.8,-89.5,180,top
C33,1nF,C_0805_2012Metric,-5.2,-106.3,180,top
C34,100nF,C_0805_2012Metric,-7.8,-92.4,180,top
C35,1uF,C_0805_2012Metric,-3.9,-84.9,0,top
C36,1uF,C_0805_2012Metric,-5.2,-109,0,top
C37,100nF,C_0805_2012Metric,5.9,-132.7,0,top
C38,100nF,C_0805_2012Metric,-5,-133.9,90,top
C39,100pF,C_0805_2012Metric,-34.9,-142.1,90,top
C40,12pF,C_0805_2012Metric,-28.4,-143.7,90,top
C41,180pF,C_0805_2012Metric,-34.8,-145.9,270,top
C42,56pF,C_0805_2012Metric,-28.4,-148.7,90,top
C43,150pF,C_0805_2012Metric,-34.7,-149.7,90,top
C44,39pF,C_0805_2012Metric,-28.3,-152.8,90,top
C45,56pF,C_0805_2012Metric,-34.7,-153.9,270,top
C46,22uF,C_0805_2012Metric,-43.2,-133.8,270,top
C47,22uF,C_0805_2012Metric,-53.3,-143.8,270,top
C48,100uF/50V,CP_Elec_6.3x7.7,48.2,-100,180,top
C49,100uF/16V,CP_Elec_6.3x7.7,53.11,-87.99,90,top
C50,100nF,C_0805_2012Metric,46.9,-90.2,270,top
C51,1000uF/16V,CP_Elec_10x10.5,59.6,-124.6,0,top
C52,270pF,C_0805_2012Metric,-11.9,-146,90,top
C53,10uF,C_0805_2012Metric,64.45,-146,0,top
C54,470nF,C_0805_2012Metric,-20.3,-143,180,top
C55,120pF,C_0805_2012Metric,-5.8,-147.9,90,top
C56,220pF,C_0805_2012Metric,-12,-150,90,top
C57,82pF,C_0805_2012Metric,-5.8,-153.15,90,top
C58,120pF,C_0805_2012Metric,-11.9,-154.1,90,top
C59,22uF,C_0805_2012Metric,55,-142,270,top
C60,22uF,C_0805_2012Metric,59.5,-131.9,0,top
C61,22uF,C_0805_2012Metric,53.8,-138.5,0,top
C62,22uF,C_0805_2012Metric,69.1,-134,270,top
C63,22uF,C_0805_2012Metric,52.6,-142,270,top
C64,100nF,C_0805_2012Metric,53.9,-145.2,0,top
D1,BAS70-04,SOT23,-7.6,-118.7,180,top
D2,1N4148,D_SOD-123,-34.2,-115.6,0,top
D3,1N4148,D_SOD-123,-34.1,-119.8,0,top
D4,1N5817,D_SOD-123,-53.2,-138.7,90,top
D5,SS34,D_SMA,56,-97.8,90,top
D6,25%,D_0805_2012Metric_Castellated,72.2,-125.8,90,top
D7,SS34,D_SMA,58,-103.9,0,top
D8,50%,D_0805_2012Metric_Castellated,72.2,-133.3,90,top
D9,75%,D_0805_2012Metric_Castellated,72.3,-140.4,90,top
D10,100%,D_0805_2012Metric_Castellated,72.4,-148,90,top
J4,USB_PWR,USB_Mini-B_Lumberg_2486_01_Horizontal,41.8,-83.5,180,top
K1,G6K-2F_DC5,G6K-2F_Cor,-16.4,-145.4,90,top
L1,100uH,L_0805_2012Metric,18.9,-115.1,0,top
L2,560nH,L_1210_3225Metric,-8.9,-142.5,270,top
L3,100uH,L_0805_2012Metric,-1.5,-116.6,270,top
L4,330nH,L_1210_3225Metric,-31.6,-144,270,top
L5,270nH,L_1008_2520Metric,-31.5,-148.7,270,top
L6,270nH,L_1008_2520Metric,-31.6,-153.3,270,top
L7,22uH,SubW_PWR_INDUCTOR,-49.3,-131.9,180,top
L8,100uH,L_Bourns-SRN8040_8x8.15mm-MOD2,47.9,-111.2,270,top
L9,470nH,L_1210_3225Metric,-9,-147.8,270,top
L10,470nH,L_1210_3225Metric,-9,-153,270,top
L11,1uH,L_Taiyo-Yuden_NR-50xx,64.8,-133,0,top
Q1,BSS123,SOT-23-3,-13.7,-124.5,180,top
Q2,BFR93,SOT-323_SC-70,-13.6,-113.9,180,top
Q3,2N7002,SOT-23-3,-24.3,-142,270,top
R1,1k,R_0805_2012Metric,-7.9,-122.7,0,top
R2,100k,R_0805_2012Metric,-8.4,-114.8,90,top
R3,470,R_0805_2012Metric,-16,-116.4,0,top
R4,100,R_0805_2012Metric,-12.9,-118.3,90,top
R5,22,R_0805_2012Metric,-10.6,-114.8,90,top
R6,680,R_0805_2012Metric,-12.2,-111.1,180,top
R7,4.7k,R_0805_2012Metric,-25.4,-115.1,180,top
R8,33,R_0805_2012Metric,-16.8,-113.6,90,top
R9,4.7k,R_0805_2012Metric,-29.3,-115,0,top
R10,1k,R_0805_2012Metric,-17.9,-108.1,0,top
R11,10k,R_0805_2012Metric,-19.1,-111.5,90,top
R12,10k,R_0805_2012Metric,-20.9,-107.3,90,top
R13,2.7k,R_0805_2012Metric,-3.8,-92.4,180,top
R14,2.7k,R_0805_2012Metric,-5.2,-103.8,180,top
R15,3.9k,R_0805_2012Metric,-45.1,-141.1,180,top
R16,1.2k,R_0805_2012Metric,-46.5,-144.3,0,top
R17,2 ohm,R_0805_2012Metric,64.4,-143.9,0,top
R18,3.9k,R_0805_2012Metric,4.3125,-104.8,0,top
R19,12k,R_0805_2012Metric,-50.2,-144.3,0,top
R20,0.5 ohm,R_0805_2012Metric,59.5,-134.4,180,top
R21,3.9k,R_0805_2012Metric,-20.4,-140.7,0,top
U2,DS3231MZ,SOIC-8_3.9x4.9mm_P1.27mm,41.3,-138.8,180,top
U3,SN74ACT74DR,SOIC-14_3.9x8.7mm_P1.27mm,-28.3,-99,0,top
U4,Si5351A,MSOP-10_3x3mm_P0.5mm,-26.8,-111.4,0,top
U5,AMS1117-3.3,SOT-223-3_TabPin2,26.7,-123.9,0,top
